Date,Open,High,Low,Close,Adj Close,Volume
2010-12-03,2.788400,2.790400,2.747400,2.788500,2.788500,0
2010-12-06,2.764900,2.764900,2.752300,2.764800,2.764800,0
2010-12-07,2.757800,2.771100,2.749500,2.757400,2.757400,0
2010-12-08,2.765400,2.797900,2.765400,2.764400,2.764400,0
2010-12-09,2.792400,2.798600,2.783600,2.792700,2.792700,0
2010-12-10,2.795500,2.797600,2.775800,2.795100,2.795100,0
2010-12-13,2.783700,2.805200,2.779000,2.783600,2.783600,0
2010-12-14,2.780400,2.786600,2.760800,2.780200,2.780200,0
2010-12-15,2.785800,2.795000,2.773800,2.785000,2.785000,0
2010-12-16,2.782500,2.801900,2.778200,2.783000,2.783000,0
2010-12-17,2.795500,2.808400,2.777500,2.794600,2.794600,0
2010-12-20,2.763300,2.779500,2.752600,2.763000,2.763000,0
2010-12-21,2.776100,2.788400,2.767100,2.775800,2.775800,0
2010-12-22,2.770400,2.780500,2.764400,2.771000,2.771000,0
2010-12-23,2.774200,2.774500,2.745100,2.774100,2.774100,0
2010-12-24,2.755800,2.758700,2.742000,2.756000,2.756000,0
2010-12-27,2.737600,2.748200,2.737300,2.738600,2.738600,0
2010-12-28,2.748700,2.757600,2.710600,2.748800,2.748800,0
2010-12-29,2.721300,2.729000,2.715100,2.721200,2.721200,0
2010-12-30,2.713600,2.714800,2.695400,2.714700,2.714700,0
2010-12-31,2.709600,2.721500,2.699300,2.709600,2.709600,0
2011-01-03,2.709500,2.717400,2.697900,2.707900,2.707900,0
2011-01-04,2.711600,2.737200,2.707400,2.711000,2.711000,0
2011-01-05,2.727900,2.757100,2.714600,2.728300,2.728300,0
2011-01-06,2.750200,2.756500,2.742300,2.750000,2.750000,0
2011-01-07,2.743800,2.756100,2.732000,2.742400,2.742400,0
2011-01-10,2.728300,2.733600,2.697200,2.727800,2.727800,0
2011-01-11,2.700200,2.735200,2.697400,2.700200,2.700200,0
2011-01-12,2.734900,2.745900,2.726300,2.734500,2.734500,0
2011-01-13,2.750600,2.752000,2.713800,2.750000,2.750000,0
2011-01-14,2.719500,2.722600,2.706200,2.720300,2.720300,0
2011-01-17,2.723300,2.723800,2.695100,2.724500,2.724500,0
2011-01-18,2.702400,2.718200,2.693900,2.701900,2.701900,0
2011-01-19,2.707900,2.716900,2.690700,2.707300,2.707300,0
2011-01-20,2.687200,2.710600,2.683300,2.686800,2.686800,0
2011-01-21,2.709100,2.721400,2.688200,2.710300,2.710300,0
2011-01-24,2.710700,2.714800,2.665100,2.711100,2.711100,0
2011-01-25,2.663800,2.669700,2.655900,2.663000,2.663000,0
2011-01-26,2.666800,2.672300,2.655000,2.666300,2.666300,0
2011-01-27,2.672500,2.695900,2.665400,2.672600,2.672600,0
2011-01-28,2.686700,2.688000,2.646300,2.686800,2.686800,0
2011-01-31,2.642400,2.662600,2.634500,2.640500,2.640500,0
2011-02-01,2.658000,2.659800,2.634200,2.656900,2.656900,0
2011-02-02,2.642300,2.650400,2.636700,2.643000,2.643000,0
2011-02-03,2.645800,2.655300,2.639600,2.645800,2.645800,0
2011-02-04,2.635400,2.663400,2.630700,2.635100,2.635100,0
2011-02-07,2.667500,2.683500,2.665800,2.667300,2.667300,0
2011-02-08,2.687500,2.695200,2.664500,2.686900,2.686900,0
2011-02-09,2.671100,2.691000,2.670200,2.671900,2.671900,0
2011-02-10,2.689300,2.699500,2.681600,2.690200,2.690200,0
2011-02-11,2.702000,2.712800,2.694600,2.701800,2.701800,0
2011-02-14,2.709100,2.713400,2.700100,2.708900,2.708900,0
2011-02-15,2.716000,2.733400,2.714000,2.715200,2.715200,0
2011-02-16,2.725000,2.741400,2.723500,2.725200,2.725200,0
2011-02-17,2.735800,2.739600,2.716700,2.734400,2.734400,0
2011-02-18,2.723100,2.729800,2.716800,2.722700,2.722700,0
2011-02-21,2.727600,2.727600,2.718500,2.727700,2.727700,0
2011-02-22,2.722000,2.722100,2.703500,2.721700,2.721700,0
2011-02-23,2.706800,2.716400,2.692700,2.706800,2.706800,0
2011-02-24,2.694000,2.694000,2.666600,2.694900,2.694900,0
2011-02-25,2.684900,2.687100,2.664800,2.684900,2.684900,0
2011-02-28,2.660500,2.678700,2.657200,2.660600,2.660600,0
2011-03-01,2.681800,2.690700,2.678600,2.680600,2.680600,0
2011-03-02,2.673800,2.686800,2.668900,2.674800,2.674800,0
2011-03-03,2.677100,2.702600,2.673100,2.677400,2.677400,0
2011-03-04,2.706700,2.723200,2.697800,2.707200,2.707200,0
2011-03-07,2.704300,2.705800,2.692800,2.704300,2.704300,0
2011-03-08,2.703200,2.727400,2.700300,2.702700,2.702700,0
2011-03-09,2.726500,2.736300,2.723300,2.726500,2.726500,0
2011-03-10,2.731500,2.738000,2.724400,2.731800,2.731800,0
2011-03-11,2.724000,2.738200,2.689600,2.724700,2.724700,0
2011-03-14,2.691400,2.723400,2.690000,2.691700,2.691700,0
2011-03-15,2.697100,2.700100,2.646900,2.696400,2.696400,0
2011-03-16,2.663900,2.667100,2.638300,2.664800,2.664800,0
2011-03-17,2.594300,2.616200,2.582700,2.595300,2.595300,0
2011-03-18,2.628300,2.716100,2.628300,2.628100,2.628100,0
2011-03-21,2.675200,2.684700,2.669600,2.674900,2.674900,0
2011-03-22,2.685500,2.685500,2.666200,2.685200,2.685200,0
2011-03-23,2.675300,2.676600,2.660000,2.674700,2.674700,0
2011-03-24,2.666500,2.677400,2.662500,2.666100,2.666100,0
2011-03-25,2.675400,2.688800,2.672900,2.675400,2.675400,0
2011-03-28,2.664800,2.700600,2.664800,2.665800,2.665800,0
2011-03-29,2.692800,2.718900,2.686400,2.693400,2.693400,0
2011-03-30,2.721200,2.742600,2.720000,2.721200,2.721200,0
2011-03-31,2.746300,2.748500,2.729200,2.746200,2.746200,0
2011-04-01,2.750100,2.794800,2.748200,2.750200,2.750200,0
2011-04-04,2.785300,2.790800,2.773500,2.784800,2.784800,0
2011-04-05,2.784300,2.806500,2.784300,2.784900,2.784900,0
2011-04-06,2.818300,2.837300,2.812100,2.819300,2.819300,0
2011-04-07,2.829800,2.839300,2.813200,2.830700,2.830700,0
2011-04-08,2.826700,2.851200,2.822600,2.826200,2.826200,0
2011-04-11,2.836200,2.843400,2.809700,2.836300,2.836300,0
2011-04-12,2.809600,2.809600,2.764400,2.810100,2.810100,0
2011-04-13,2.775000,2.798500,2.771000,2.774900,2.774900,0
2011-04-14,2.773200,2.780600,2.749400,2.773900,2.773900,0
2011-04-15,null,null,null,null,null,null
2011-04-18,2.754300,2.757200,2.728500,2.753400,2.753400,0
2011-04-19,2.736900,2.752800,2.735100,2.737500,2.737500,0
2011-04-20,2.752600,2.781000,2.749400,2.752400,2.752400,0
2011-04-21,2.753500,2.761500,2.728600,2.753500,2.753500,0
2011-04-22,2.733600,2.745600,2.725300,2.733500,2.733500,0
2011-04-25,2.732500,2.750500,2.731300,2.732300,2.732300,0
2011-04-26,2.735400,2.736400,2.716900,2.735300,2.735300,0
2011-04-27,2.730400,2.759300,2.725000,2.729700,2.729700,0
2011-04-28,2.765300,2.773400,2.718200,2.765700,2.765700,0
