ราคากลางเปิดตลาด ,,,,
การยางแห่งประเทศไทย ฝ่ายเศรษฐกิจยาง,,,,
ว/ด/ป,ราคากลาง,,,
,น้ำยางสด (DRC100%),ยางก้อนถ้วย (DRC100%),ยางแผ่นดิบ,"ยางแผ่นรมควัน 
(ไม่อัดก้อน)"
คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5
19 กันยายน 2560,-,-,52.56,55.04
20 กันยายน 2560,-,-,51.51,53.28
21 กันยายน 2560,-,-,51.51,53.14
22 กันยายน 2560,-,-,51.78,53.30
25 กันยายน 2560,-,-,50.58,53.22
26 กันยายน 2560,-,-,50.33,53.49
27 กันยายน 2560,-,-,51.07,54.06
28 กันยายน 2560,-,-,51.55,54.83
29 กันยายน 2560,-,-,50.05,53.81
2 ตุลาคม 2560,-,-,49.10,52.81
3 ตุลาคม 2560,-,-,47.89,51.75
4 ตุลาคม 2560,-,-,48.41,52.84
5 ตุลาคม 2560,-,-,48.91,53.28
6 ตุลาคม 2560,-,-,49.91,53.85
9 ตุลาคม 2560,-,-,50.33,53.35
10 ตุลาคม 2560,-,-,49.80,52.45
11 ตุลาคม 2560,-,-,49.14,51.96
12 ตุลาคม 2560,-,,48.35,51.20
16 ตุลาคม 2560,-,-,47.33,50.20
17 ตุลาคม 2560,-,-,46.77,50.34
18 ตุลาคม 2560,-,-,45.68,50.93
19 ตุลาคม 2560,-,-,45.86,51.41
20 ตุลาคม 2560,-,-,46.39,53.41
24 ตุลาคม 2560,-,-,45.41,54.00
25 ตุลาคม 2560,-,-,45.35,52.00
27 ตุลาคม 2560,-,-,46.05,51.00
30 ตุลาคม 2560,-,-,45.83,51.50
31 ตุลาคม 2560,-,-,45.16,49.50
1 พฤศจิกายน 2560,-,-,44.51,46.70
2 พฤศจิกายน 2560,-,-,44.96,45.89
3 พฤศจิกายน 2560,-,-,45.12,46.16
6 พฤศจิกายน 2560,-,-,44.28,46.09
7 พฤศจิกายน 2560,-,-,44.55,46.55
8 พฤศจิกายน 2560,-,-,44.77,46.95
9 พฤศจิกายน 2560,-,-,44.69,46.75
10 พฤศจิกายน 2560,-,-,44.14,47.00
13 พฤศจิกายน 2560,-,-,43.84,47.10
14 พฤศจิกายน 2560,-,-,44.00,47.03
15 พฤศจิกายน 2560,-,-,44.59,46.96
16 พฤศจิกายน 2560,-,-,43.35,46.22
17 พฤศจิกายน 2560,-,-,42.72,46.85
20 พฤศจิกายน 2560,-,-,42.54,47.00
21 พฤศจิกายน 2560,-,-,41.77,46.04
22 พฤศจิกายน 2560,-,-,41.67,44.84
23 พฤศจิกายน 2560,-,-,41.99,44.46
24 พฤศจิกายน 2560,-,-,42.29,44.83
27 พฤศจิกายน 2560,-,-,42.88,44.91
28 พฤศจิกายน 2560,-,-,43.29,45.14
29 พฤศจิกายน 2560,-,-,42.90,44.78
30 พฤศจิกายน 2560,-,-,42.91,45.40
1 ธันวาคม 2560,-,-,42.80,45.32
4 ธันวาคม 2560,-,-,42.57,45.77
6 ธันวาคม 2560,-,-,43.61,47.09
7 ธันวาคม 2560,-,-,43.81,47.33
8 ธันวาคม 2560,-,-,43.70,47.51
12 ธันวาคม 2560,-,-,43.53,47.03
13 ธันวาคม 2560,-,-,43.37,46.00
14 ธันวาคม 2560,-,-,42.91,45.49
15 ธันวาคม 2560,-,-,43.30,45.60
18 ธันวาคม 2560,,,43.55,45.95
19 ธันวาคม 2560,-,-,43.33,46.39
20 ธันวาคม 2560,-,-,43.63,46.49
21 ธันวาคม 2560,-,-,43.60,46.64
22 ธันวาคม 2560,-,-,43.67,46.61
25 ธันวาคม 2560,-,-,43.24,46.10
26 ธันวาคม 2560,-,-,44.34,46.04
27 ธันวาคม 2560,-,-,44.61,47.29
28 ธันวาคม 2560,-,-,45.07,47.35
29 ธันวาคม 2560,-,-,44.95,46.44
