ราคากลางเปิดตลาด ,,,,
การยางแห่งประเทศไทย ฝ่ายเศรษฐกิจยาง,,,,
ว/ด/ป,ราคากลาง,,,
,น้ำยางสด (DRC100%),ยางก้อนถ้วย (DRC100%),ยางแผ่นดิบ,"ยางแผ่นรมควัน 
(ไม่อัดก้อน)"
คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5
4 มกราคม 2564,48.50,39.00,56.40,58.00
5 มกราคม 2564,50.00,39.50,56.50,59.00
6 มกราคม 2564,51.00,40.00,57.40,59.46
7 มกราคม 2564,52.00,40.50,57.50,60.00
8 มกราคม 2564,52.50,41.00,58.00,61.00
11 มกราคม 2564,53.00,41.00,58.00,61.00
12 มกราคม 2564,52.00,40.50,57.00,59.00
13 มกราคม 2564,51.30,40.50,56.50,58.79
14 มกราคม 2564,51.00,40.50,56.80,59.00
15 มกราคม 2564,51.00,40.50,57.20,59.50
18 มกราคม 2564,49.00,41.00,57.50,59.00
19 มกราคม 2564,48.50,41.00,57.50,60.00
20 มกราคม 2564,48.00,41.00,57.50,60.00
21 มกราคม 2564,47.00,41.00,57.30,59.80
22 มกราคม 2564,46.00,41.00,56.50,59.00
25 มกราคม 2564,42.00,40.50,55.50,56.50
26 มกราคม 2564,42.00,40.50,53.50,56.00
27 มกราคม 2564,42.00,40.50,52.75,55.68
28 มกราคม 2564,43.50,40.50,53.00,56.00
29 มกราคม 2564,45.00,41.00,53.10,56.10
1 กุมภาพันธ์ 2564,45.50,41.50,53.17,56.17
2 กุมภาพันธ์ 2564,44.50,42.00,53.50,56.50
3 กุมภาพันธ์ 2564,44.00,42.00,53.35,56.35
4 กุมภาพันธ์ 2564,44.00,42.00,53.25,56.32
5 กุมภาพันธ์ 2564,45.00,42.50,53.40,56.50
8 กุมภาพันธ์ 2564,46.00,42.50,54.00,57.50
9 กุมภาพันธ์ 2564,47.00,43.00,55.00,58.30
10 กุมภาพันธ์ 2564,48.00,43.00,55.00,58.50
11 กุมภาพันธ์ 2564,48.80,42.50,55.00,58.50
12 กุมภาพันธ์ 2564,49.5,42.50,55.00,58.50
15 กุมภาพันธ์ 2564,50.50,42.50,55.15,58.65
16 กุมภาพันธ์ 2564,52.50,43.00,56.99,59.94
17 กุมภาพันธ์ 2564,55.00,43.50,57.55,60.50
18 กุมภาพันธ์ 2564,58.00,44.00,59.14,62.00
19 กุมภาพันธ์ 2564,60.50,44.30,60.15,63.15
22 กุมภาพันธ์ 2564,63.50,44.80,60.85,64.43
23 กุมภาพันธ์ 2564,65.50,45.00,62.30,65.95
24 กุมภาพันธ์ 2564,66.00,45.50,64.54,67.77
25 กุมภาพันธ์ 2564,66.50,46.00,65.00,68.00
1 มีนาคม 2564,61.50,45.00,65.00,68.00
2 มีนาคม 2564,59.50,44.50,63.10,66.01
3 มีนาคม 2564,58.50,44.50,60.00,62.00
4 มีนาคม 2564,59.00,45.00,60.50,62.80
5 มีนาคม 2564,59.50,45.00,60.27,63.00
8 มีนาคม 2564,63.50,46.00,60.48,64.39
9 มีนาคม 2564,65.00,46.50,61.95,66.00
10 มีนาคม 2564,66.50,47.00,62.49,66.97
11 มีนาคม 2564,67.50,47.00,63.18,68.49
12 มีนาคม 2564,67.50,47.00,63.49,68.00
15 มีนาคม 2564,64.50,47.50,63.77,67.31
16 มีนาคม 2564,64.50,48.00,63.66,66.89
17 มีนาคม 2564,65.00,48.50,63.70,66.84
18 มีนาคม 2564,65.50,49.00,64.23,66.97
19 มีนาคม 2564,65.50,49.00,64.13,67.12
22 มีนาคม 2564,63.50,48.50,63.50,65.47
23 มีนาคม 2564,64.00,48.50,63.59,65.64
24 มีนาคม 2564,64.00,48.50,63.47,65.69
25 มีนาคม 2564,64.00,48.50,62.00,65.00
26 มีนาคม 2564,63.50,48.50,62.00,65.00
29 มีนาคม 2564,62.50,48.50,61.00,64.00
30 มีนาคม 2564,62.50,47.50,61.57,64.12
31 มีนาคม 2564,62.50,47.50,61.50,64.15
1 เมษายน 2564,62.20,47.00,61.00,63.00
2 เมษายน 2564,62.20,47.00,61.00,63.18
5 เมษายน 2564,60.20,47.50,61.00,63.20
6 เมษายน 2564,60.20,47.50,61.19,63.62
7 เมษายน 2564,60.20,47.50,61.02,63.75
8 เมษายน 2564,60.20,47.50,61.34,63.91
9 เมษายน 2564,60.20,47.50,61.31,63.43
12 เมษายน 2564,58.20,46.50,60.44,61.82
16 เมษายน 2564,57.50,46.50,60.50,62.17
19 เมษายน 2564,57.50,46.50,59.80,61.00
20 เมษายน 2564,57.50,46.50,59.80,61.19
21 เมษายน 2564,57.50,46.50,58.50,61.50
22 เมษายน 2564,58.00,47.00,58.50,61.50
23 เมษายน 2564,58.30,47.50,58.75,61.85
26 เมษายน 2564,59.00,48.00,58.35,62.56
27 เมษายน 2564,59.50,48.00,59.25,63.08
28 เมษายน 2564,60.00,48.00,59.25,63.57
29 เมษายน 2564,61.00,48.00,59.50,63.98
30 เมษายน 2564,61.50,48.00,60.13,65.03
5 พฤษภาคม 2564,62.50,48.00,60.51,65.90
6 พฤษภาคม 2564,63.00,48.50,61.96,66.69
7 พฤษภาคม 2564,63.80,49.50,64.28,68.18
11 พฤษภาคม 2564,65.50,50.00,65.17,69.11
12 พฤษภาคม 2564,65.50,49.50,64.78,68.72
13 พฤษภาคม 2564,65.50,49.50,64.85,68.59
14 พฤษภาคม 2564,65.50,49.00,65.02,68.84
17 พฤษภาคม 2564,63.00,48.50,63.74,67.88
18 พฤษภาคม 2564,63.50,47.50,63.74,67.67
19 พฤษภาคม 2564,64.00,47.50,64.00,67.86
20 พฤษภาคม 2564,64.20,47.00,64.56,67.72
21 พฤษภาคม 2564,64.50,47.00,64.35,68.12
24 พฤษภาคม 2564,64.80,47.50,64.55,68.71
25 พฤษภาคม 2564,65.00,47.50,64.90,69.51
27 พฤษภาคม 2564,63.50,47.50,64.84,69.99
28 พฤษภาคม 2564,63.50,47.50,65.51,69.45
31 พฤษภาคม 2564,59.00,46.50,65.00,67.00
1 มิถุนายน 2564,56.50,46.00,65.00,67.09
2 มิถุนายน 2564,55.00,46.00,64.50,66.50
3 มิถุนายน 2564,53.50,46.00,64.50,66.50
4 มิถุนายน 2564,53.50,46.00,64.50,66.50
7 มิถุนายน 2564,53.50,46.50,64.00,66.00
8 มิถุนายน 2564,53.50,46.50,64.00,66.00
9 มิถุนายน 2564,52.00,46.50,63.65,65.70
10 มิถุนายน 2564,52.00,46.50,63.15,65.20
11 มิถุนายน 2564,52.00,46.50,62.45,64.40
14 มิถุนายน 2564,52.00,46.50,61.00,63.00
15 มิถุนายน 2564,52.50,46.00,61.00,63.00
16 มิถุนายน 2564,52.00,45.50,60.50,62.50
17 มิถุนายน 2564,51.50,44.50,60.20,62.20
18 มิถุนายน 2564,50.50,44.00,59.70,61.70
21 มิถุนายน 2564,49.50,43.50,58.15,60.04
22 มิถุนายน 2564,49.50,43.50,58.15,60.00
23 มิถุนายน 2564,49.50,43.50,57.70,59.70
24 มิถุนายน 2564,49.50,44.00,57.48,59.73
25 มิถุนายน 2564,49.50,44.00,57.63,59.88
28 มิถุนายน 2564,49.50,44.00,57.83,59.95
29 มิถุนายน 2564,49.50,44.00,57.35,59.57
30 มิถุนายน 2564,48.50,43.50,56.50,58.30
1 กรกฎาคม 2564,46.50,43.00,55.60,56.72
2 กรกฎาคม 2564,44.50,42.50,53.75,54.75
5 กรกฎาคม 2564,42.50,43.00,52.35,53.50
6 กรกฎาคม 2564,42.50,43.50,52.68,53.76
7 กรกฎาคม 2564,42.50,43.50,52.97,54.59
8 กรกฎาคม 2564,43.00,43.00,52.53,53.79
9 กรกฎาคม 2564,43.50,43.00,51.68,53.01
12 กรกฎาคม 2564,43.80,43.00,51.72,52.79
13 กรกฎาคม 2564,44.50,43.50,50.83,52.32
14 กรกฎาคม 2564,44.70,43.50,50.45,52.09
15 กรกฎาคม 2564,44.70,43.50,50.03,51.64
16 กรกฎาคม 2564,44.70,43.50,49.77,52.10
19 กรกฎาคม 2564,43.50,44.50,50.20,53.51
20 กรกฎาคม 2564,42.00,44.50,50.00,52.00
21 กรกฎาคม 2564,41.00,44.00,48.38,50.36
22 กรกฎาคม 2564,41.00,44.00,49.21,50.69
23 กรกฎาคม 2564,41.50,44.00,48.83,50.97
27 กรกฎาคม 2564,44.00,45.00,49.10,51.39
29 กรกฎาคม 2564,45.50,45.50,49.67,53.19
30 กรกฎาคม 2564,45.50,46.00,49.69,53.16
2 สิงหาคม 2564,45.50,46.00,50.00,53.00
3 สิงหาคม 2564,46.00,46.00,50.22,53.02
4 สิงหาคม 2564,46.50,46.00,50.43,53.00
5 สิงหาคม 2564,47.00,46.50,50.31,53.17
6 สิงหาคม 2564,48.00,47.00,50.48,53.72
9 สิงหาคม 2564,49.50,48.00,51.09,54.59
10 สิงหาคม 2564,50.00,48.00,52.42,55.45
11 สิงหาคม 2564,50.50,48.00,52.52,55.55
13 สิงหาคม 2564,50.70,48.00,52.72,55.62
16 สิงหาคม 2564,51.00,48.50,52.92,55.88
17 สิงหาคม 2564,51.30,49.00,52.96,56.30
18 สิงหาคม 2564,51.70,50.00,53.34,56.88
19 สิงหาคม 2564,52.50,50.50,54.02,57.46
20 สิงหาคม 2564,52.70,50.00,54.03,57.79
23 สิงหาคม 2564,52.20,49.50,52.53,56.70
24 สิงหาคม 2564,51.20,49.00,52.62,56.50
25 สิงหาคม 2564,50.80,49.00,52.79,56.44
26 สิงหาคม 2564,50.80,48.50,52.39,56.27
27 สิงหาคม 2564,50.30,48.00,52.37,55.78
30 สิงหาคม 2564,47.80,46.50,51.50,55.10
31 สิงหาคม 2564,48.00,46.50,51.50,55.00
1 กันยายน 2564,48.30,46.70,51.68,55.13
2 กันยายน 2564,48.50,46.70,51.70,55.13
3 กันยายน 2564,48.70,46.70,51.72,55.15
6 กันยายน 2564,48.70,47.00,51.50,55.00
7 กันยายน 2564,48.30,47.30,51.75,54.00
8 กันยายน 2564,47.30,47.00,50.15,52.86
9 กันยายน 2564,46.50,46.50,49.55,51.61
10 กันยายน 2564,46.50,46.00,49.70,51.85
13 กันยายน 2564,47.00,47.00,49.94,52.10
14 กันยายน 2564,47.30,47.50,50.13,52.11
15 กันยายน 2564,48.50,48.00,50.77,52.57
16 กันยายน 2564,48.80,48.00,50.85,52.89
17 กันยายน 2564,49.50,48.00,50.15,53.01
20 กันยายน 2564,49.50,47.00,50.02,52.92
21 กันยายน 2564,48.50,46.50,50.04,51.01
22 กันยายน 2564,47.70,45.50,49.07,50.69
23 กันยายน 2564,46.70,45.50,49.07,50.48
24 กันยายน 2564,46.20,45.50,48.70,50.52
27 กันยายน 2564,46.50,45.50,48.58,50.54
28 กันยายน 2564,47.00,46.00,48.94,51.50
29 กันยายน 2564,48.30,46.50,49.67,52.09
30 กันยายน 2564,49.30,47.00,49.33,52.47
1 ตุลาคม 2564,50.50,47.00,50.00,52.71
4 ตุลาคม 2564,50.50,47.00,49.71,52.46
5 ตุลาคม 2564,49.50,47.00,49.55,51.92
6 ตุลาคม 2564,48.80,47.50,49.78,52.19
7 ตุลาคม 2564,48.50,48.00,49.78,52.19
8 ตุลาคม 2564,49.00,48.30,49.59,52.29
11 ตุลาคม 2564,51.00,49.00,52.00,54.30
12 ตุลาคม 2564,52.00,49.50,52.47,55.77
14 ตุลาคม 2564,52.50,49.50,53.00,56.00
15 ตุลาคม 2564,52.70,49.00,53.00,55.20
18 ตุลาคม 2564,51.70,48.50,52.70,55.20
19 ตุลาคม 2564,51.70,48.50,51.00,54.00
20 ตุลาคม 2564,52.50,49.00,51.90,55.89
21 ตุลาคม 2564,53.00,49.50,52.84,56.51
22 ตุลาคม 2564,54.00,49.50,54.45,57.70
25 ตุลาคม 2564,53.50,49.00,53.26,56.27
26 ตุลาคม 2564,53.50,49.00,52.97,56.12
27 ตุลาคม 2564,54.00,49.00,53.13,56.67
28 ตุลาคม 2564,54.20,49.50,54.04,57.16
29 ตุลาคม 2564,54.50,50.00,53.62,57.56
1 พฤศจิกายน 2564,54.80,49.50,54.24,58.04
2 พฤศจิกายน 2564,54.80,49.50,53.96,57.50
3 พฤศจิกายน 2564,54.50,49.50,53.45,57.04
4 พฤศจิกายน 2564,54.20,49.00,53.69,56.95
5 พฤศจิกายน 2564,53.50,49.00,53.21,56.58
8 พฤศจิกายน 2564,52.80,48.50,52.68,55.86
9 พฤศจิกายน 2564,52.30,48.50,53.19,56.00
10 พฤศจิกายน 2564,51.80,48.50,53.19,56.00
11 พฤศจิกายน 2564,52.00,48.50,52.85,55.82
12 พฤศจิกายน 2564,52.30,48.80,53.13,56.18
15 พฤศจิกายน 2564,52.50,49.00,53.83,57.00
16 พฤศจิกายน 2564,53.00,49.50,54.35,57.17
17 พฤศจิกายน 2564,54.50,50.00,54.35,57.19
18 พฤศจิกายน 2564,55.50,50.00,54.60,57.33
19 พฤศจิกายน 2564,55.70,49.50,54.25,57.19
22 พฤศจิกายน 2564,58.00,49.80,54.78,57.59
23 พฤศจิกายน 2564,59.50,50.50,55.19,58.72
24 พฤศจิกายน 2564,60.00,50.50,55.42,60.06
25 พฤศจิกายน 2564,60.00,50.50,57.51,62.20
26 พฤศจิกายน 2564,61.00,50.50,58.50,63.09
29 พฤศจิกายน 2564,60.50,49.50,56.74,61.28
30 พฤศจิกายน 2564,60.00,49.00,57.26,61.55
1 ธันวาคม 2564,60.00,49.00,57.50,61.55
2 ธันวาคม 2564,59.50,49.00,57.01,60.72
3 ธันวาคม 2564,59.50,49.00,57.01,60.93
7 ธันวาคม 2564,57.50,48.50,56.80,60.66
8 ธันวาคม 2564,54.50,48.50,56.25,58.54
9 ธันวาคม 2564,52.50,48.50,55.51,58.64
10 ธันวาคม 2564,52.50,48.50,55.00,57.59
13 ธันวาคม 2564,52.50,49.00,54.57,57.56
14 ธันวาคม 2564,53.00,49.00,55.35,58.69
15 ธันวาคม 2564,53.20,49.00,55.13,59.04
16 ธันวาคม 2564,53.20,49.00,55.13,59.17
17 ธันวาคม 2564,52.20,48.50,55.45,58.85
20 ธันวาคม 2564,51.20,48.00,55.50,58.64
21 ธันวาคม 2564,51.20,47.50,54.52,56.98
22 ธันวาคม 2564,51.20,47.50,54.00,56.75
23 ธันวาคม 2564,51.50,47.50,54.28,57.02
24 ธันวาคม 2564,50.00,47.00,54.35,57.09
27 ธันวาคม 2564,48.50,46.50,54.35,56.65
28 ธันวาคม 2564,48.00,46.00,53.76,56.03
29 ธันวาคม 2564,48.00,46.50,53.86,56.53
30 ธันวาคม 2564,48.00,46.50,53.74,56.79
