date,rubber_sheet,latex,bid_rubber_sheet,bid_rss,bid_latex,fob
2001-01-03,22.3,20.0,23.55,24.26,,26.7
2001-01-04,22.3,19.5,23.25,24.3,,26.25
2001-01-05,22.3,19.25,23.26,24.16,,26.25
2001-01-08,22.3,19.25,23.45,24.2,,25.85
2001-01-09,22.2,19.25,23.26,24.26,,25.9
2001-01-10,22.2,19.3,23.27,24.27,,26.15
2001-01-11,22.1,19.6,23.12,24.35,,26.2
2001-01-12,22.1,19.7,23.27,24.4,,26.3
2001-01-15,22.25,19.8,23.42,24.5,,26.3
2001-01-16,22.25,19.85,23.36,24.25,,26.25
2001-01-17,22.25,19.85,23.39,24.27,,26.05
2001-01-18,22.3,19.95,23.43,24.18,,26.25
2001-01-19,22.35,20.05,23.51,24.24,,26.2
2001-01-22,22.35,20.05,23.57,24.3,,26.15
2001-01-23,22.35,20.05,23.39,24.25,,26.2
2001-01-25,22.35,20.05,23.44,24.25,,26.2
2001-01-26,22.55,20.1,23.51,24.3,,26.0
2001-01-29,22.6,20.15,23.61,24.35,,26.0
2001-01-30,22.7,20.2,23.83,24.37,,26.0
2001-01-31,22.8,20.25,23.82,24.41,,26.0
2001-02-01,22.8,20.3,23.91,24.45,,26.0
2001-02-02,22.8,20.5,23.83,24.5,,26.1
2001-02-05,22.8,20.6,23.76,24.36,,26.1
2001-02-06,22.7,20.75,23.66,24.28,,26.15
2001-02-07,22.7,20.85,23.41,24.22,,26.2
2001-02-09,22.7,21.0,23.42,24.25,,26.2
2001-02-12,22.6,21.05,23.37,24.3,,26.15
2001-02-13,22.55,21.2,23.32,24.16,,26.0
2001-02-14,22.45,21.35,23.24,24.07,,25.9
2001-02-15,22.35,21.45,23.18,24.1,,25.85
2001-02-16,22.35,21.55,23.16,24.0,,25.85
2001-02-19,22.25,21.55,23.06,23.9,,25.85
2001-02-20,22.15,21.55,22.98,23.85,,25.8
2001-02-21,22.05,21.65,22.91,23.81,,25.75
2001-02-22,22.05,21.75,22.86,23.85,,25.75
2001-02-23,22.0,21.75,22.76,23.75,,25.65
2001-02-26,21.85,21.6,22.53,23.5,,25.65
2001-02-27,21.6,21.6,22.22,23.3,,25.6
2001-02-28,21.6,21.5,22.22,23.15,,25.6
2001-03-01,21.4,21.8,22.25,23.2,,25.4
2001-03-02,21.3,21.8,22.11,23.1,,25.4
2001-03-05,21.22,21.8,22.05,23.1,,25.55
2001-03-06,21.0,21.6,21.9,23.1,,25.4
2001-03-07,21.0,21.6,21.92,23.1,,25.35
2001-03-08,21.1,21.6,22.0,23.15,,25.5
2001-03-09,21.1,21.6,22.02,23.12,,25.35
2001-03-12,21.1,21.6,22.07,23.03,,25.45
2001-03-13,21.15,21.6,22.09,23.06,,25.45
2001-03-14,21.2,21.6,22.19,23.0,,25.45
2001-03-15,21.2,21.6,22.23,23.02,,25.45
2001-03-16,21.2,21.6,22.32,23.06,,25.45
2001-03-19,21.2,21.6,22.28,,,
2001-03-19,21.2,21.6,22.28,23.11,,25.5
2001-03-20,21.2,21.6,22.31,23.12,,25.45
2001-03-21,21.2,21.6,22.41,23.1,,25.45
2001-03-22,21.2,21.6,22.46,23.15,,25.4
2001-03-23,21.3,21.5,22.52,23.21,,25.3
2001-03-26,21.35,21.5,22.69,23.27,,25.2
2001-03-27,21.35,21.5,22.81,23.38,,25.1
2001-03-28,21.4,21.5,23.03,23.4,,25.15
2001-03-29,21.5,21.5,23.18,23.56,,25.4
2001-03-30,21.6,21.5,23.26,23.63,,25.5
2001-04-02,21.7,21.5,23.41,23.75,,25.8
2001-04-03,21.7,21.5,23.53,23.79,,25.8
2001-04-04,21.8,21.5,23.56,23.81,,25.9
2001-04-05,21.9,21.5,23.63,23.91,,25.95
2001-04-09,22.4,21.5,23.83,24.13,,26.15
2001-04-10,22.5,21.5,22.5,23.93,,26.0
2001-04-11,22.65,21.5,24.03,24.39,,
2001-04-12,22.75,21.5,24.17,24.51,,26.0
2001-04-18,22.9,21.5,24.48,24.77,,25.95
2001-04-19,23.0,21.5,24.39,24.89,,25.95
2001-04-20,23.0,21.5,24.41,25.02,,26.05
2001-04-23,23.05,21.55,24.52,25.07,,26.2
2001-04-24,23.05,21.55,24.37,25.11,,26.2
2001-04-25,23.05,21.55,24.42,25.2,,26.2
2001-04-26,23.1,21.6,24.55,25.27,,26.25
2001-04-27,23.1,21.65,24.45,25.25,,26.45
2001-04-30,23.1,21.65,24.43,25.25,,26.35
2001-05-02,23.1,21.65,24.31,25.35,,26.3
2001-05-03,23.3,21.75,24.4,25.37,,26.2
2001-05-04,23.35,21.75,24.43,25.37,,26.25
2001-05-09,23.6,21.8,25.03,25.67,,26.5
2001-05-10,23.75,21.85,24.88,25.9,,26.5
2001-05-11,23.9,21.85,25.05,26.0,,26.0
2001-05-14,24.15,21.95,25.18,26.06,,26.9
2001-05-15,24.25,22.0,25.26,27.0,,27.0
2001-05-17,24.45,22.05,25.5,26.5,,27.0
2001-05-18,24.65,22.1,25.67,26.73,,27.0
2001-05-21,24.75,22.15,25.83,26.9,,27.2
2001-05-22,24.9,22.25,25.94,26.9,,27.2
2001-05-23,24.9,22.35,25.86,26.91,,27.2
2001-05-24,24.9,22.45,26.03,26.75,,27.2
2001-05-25,25.0,22.55,26.06,26.88,,27.05
2001-05-28,25.15,22.75,26.31,27.16,,27.35
2001-05-29,25.3,23.0,26.36,27.26,,27.4
2001-05-30,25.4,23.05,26.45,27.38,,27.4
2001-05-31,25.6,23.15,26.62,27.57,,27.4
2001-06-01,25.85,23.25,27.0,27.62,,27.7
2001-06-04,25.95,23.35,27.15,27.76,,27.8
2001-06-05,26.0,24.0,27.21,27.93,,27.8
2001-06-06,25.8,24.3,26.8,27.73,,27.55
2001-06-07,25.6,24.5,26.43,27.53,,27.65
2001-06-08,25.2,24.7,26.0,27.23,,27.65
2001-06-11,25.0,24.9,25.55,26.7,,27.65
2001-06-12,24.5,24.9,25.22,26.3,,27.65
2001-06-13,24.35,25.0,25.0,26.1,,27.65
2001-06-14,24.0,25.0,24.81,25.95,,27.65
2001-06-15,23.75,24.8,24.66,26.0,,27.65
2001-06-18,23.45,24.7,24.52,25.75,,27.65
2001-06-19,23.45,24.5,24.66,25.81,,27.6
2001-06-20,23.65,24.45,24.71,25.7,,27.65
2001-06-21,23.8,24.5,25.03,25.8,,27.4
2001-06-22,24.0,24.5,25.24,26.0,,27.7
2001-06-25,24.4,24.65,25.55,26.21,,27.75
2001-06-26,24.65,24.65,25.64,26.25,,27.7
2001-06-27,24.75,24.75,25.64,26.26,,27.8
2001-06-28,24.45,24.7,25.2,26.26,,27.8
2001-06-29,24.4,24.7,25.13,25.8,,27.0
2001-07-02,23.85,24.7,24.82,25.65,,27.8
2001-07-03,23.8,24.5,24.75,25.55,,27.8
2001-07-04,23.7,24.4,24.56,25.45,,27.9
2001-07-09,23.7,24.3,24.59,25.46,,27.75
2001-07-10,23.55,24.3,24.71,25.39,,27.75
2001-07-11,23.45,24.3,24.43,25.36,,27.6
2001-07-12,23.35,24.3,24.36,25.28,,27.6
2001-07-13,23.3,24.3,24.36,25.3,,27.6
2001-07-16,23.15,24.3,24.28,25.15,,27.6
2001-07-17,23.05,24.0,24.12,26.01,,27.7
2001-07-18,22.85,24.0,23.81,24.8,,27.55
2001-07-19,22.65,24.0,23.53,24.44,,27.45
2001-07-20,22.45,23.85,23.31,24.2,,27.3
2001-07-23,22.4,23.45,23.31,24.12,,27.05
2001-07-24,22.4,23.3,23.46,24.23,,27.0
2001-07-25,22.4,23.0,23.33,24.06,,26.95
2001-07-26,22.3,23.0,23.17,24.15,,26.95
2001-07-27,22.3,23.0,23.19,24.2,,26.85
2001-07-30,22.2,22.95,23.15,24.35,,26.85
