"Date","Price","Open","High","Low","Vol.","Change %"
"11/04/2022","3.9300","3.9023","3.9512","3.8939","174.61K","0.85%"
"11/03/2022","3.8967","3.9151","3.9210","3.8831","159.62K","-0.38%"
"11/02/2022","3.9117","3.9273","3.9324","3.8795","166.32K","-0.37%"
"11/01/2022","3.9261","3.9074","3.9295","3.8934","167.82K","0.51%"
"10/31/2022","3.9062","3.8957","3.9116","3.8833","160.55K","0.56%"
"10/28/2022","3.8844","3.8679","3.9039","3.8639","170.00K","0.41%"
"10/27/2022","3.8686","3.8710","3.8879","3.8513","198.65K","-0.03%"
"10/26/2022","3.8696","3.8940","3.9133","3.8693","186.02K","-0.54%"
"10/25/2022","3.8906","3.9021","3.9155","3.8778","162.51K","-0.25%"
"10/24/2022","3.9005","3.8844","3.9284","3.8302","178.83K","0.52%"
"10/21/2022","3.8802","3.9316","3.9694","3.8400","147.77K","-1.15%"
"10/20/2022","3.9252","3.9132","3.9435","3.8963","156.89K","0.45%"
"10/19/2022","3.9075","3.9185","3.9303","3.9032","159.14K","-0.17%"
"10/18/2022","3.9142","3.9135","3.9253","3.8997","171.24K","0.15%"
"10/17/2022","3.9085","3.8768","3.9179","3.8754","158.05K","0.64%"
"10/14/2022","3.8836","3.8715","3.8891","3.8539","188.05K","0.32%"
"10/13/2022","3.8712","3.8744","3.8935","3.8302","167.04K","-0.05%"
"10/12/2022","3.8732","3.8275","3.8790","3.8214","182.98K","1.23%"
"10/11/2022","3.8263","3.8366","3.8431","3.8117","175.59K","-0.19%"
"10/10/2022","3.8335","3.8668","3.8719","3.8319","155.88K","-0.82%"
"10/07/2022","3.8652","3.8858","3.8860","3.8577","154.42K","-0.37%"
"10/06/2022","3.8794","3.8595","3.8942","3.8543","169.58K","0.53%"
"10/05/2022","3.8589","3.8467","3.8791","3.8312","182.22K","0.37%"
"10/04/2022","3.8445","3.8229","3.8644","3.8136","164.91K","0.60%"
"10/03/2022","3.8215","3.8209","3.8310","3.7990","181.30K","0.03%"
"09/30/2022","3.8203","3.8140","3.8380","3.8008","168.51K","0.24%"
"09/29/2022","3.8113","3.8200","3.8224","3.7753","189.71K","-0.25%"
"09/28/2022","3.8208","3.8119","3.8238","3.7639","198.78K","0.30%"
"09/27/2022","3.8095","3.8147","3.8192","3.7980","205.35K","-0.08%"
"09/26/2022","3.8127","3.8198","3.8275","3.7930","203.54K","-0.11%"
"09/23/2022","3.8168","3.8094","3.8238","3.7937","204.39K","0.23%"
"09/22/2022","3.8082","3.8728","3.8984","3.7712","232.11K","-1.58%"
"09/21/2022","3.8692","3.8819","3.8915","3.8533","177.70K","-0.29%"
"09/20/2022","3.8804","3.8756","3.8924","3.8728","160.97K","0.15%"
"09/19/2022","3.8745","3.8828","3.8853","3.8696","144.80K","-0.15%"
"09/16/2022","3.8805","3.8846","3.8868","3.8592","162.72K","-0.05%"
"09/15/2022","3.8826","3.9095","3.9152","3.8785","176.29K","-0.68%"
"09/14/2022","3.9091","3.9439","3.9557","3.8922","200.99K","-0.83%"
"09/13/2022","3.9419","3.9348","3.9566","3.9104","186.06K","0.21%"
"09/12/2022","3.9336","3.9223","3.9390","3.9106","142.19K","0.30%"
"09/09/2022","3.9218","3.9495","3.9607","3.8997","202.87K","-0.66%"
"09/08/2022","3.9479","3.9439","3.9611","3.9383","188.03K","0.13%"
"09/07/2022","3.9429","3.8951","3.9546","3.8864","209.41K","1.27%"
"09/06/2022","3.8936","3.8430","3.9053","3.8382","176.96K","1.36%"
"09/05/2022","3.8413","3.8215","3.8486","3.8077","130.12K","0.53%"
"09/02/2022","3.8212","3.8131","3.8363","3.8010","142.39K","0.24%"
"09/01/2022","3.8119","3.8017","3.8150","3.7878","172.85K","0.37%"
"08/31/2022","3.7978","3.8061","3.8119","3.7867","163.67K","-0.18%"
"08/30/2022","3.8046","3.8180","3.8190","3.7929","166.87K","-0.31%"
"08/29/2022","3.8165","3.8003","3.8228","3.7987","129.97K","0.49%"
"08/26/2022","3.7978","3.8077","3.8180","3.7896","134.61K","-0.23%"
"08/25/2022","3.8065","3.7975","3.8198","3.7946","168.78K","0.28%"
"08/24/2022","3.7957","3.7934","3.8059","3.7689","159.94K","0.09%"
"08/23/2022","3.7921","3.8063","3.8112","3.7744","161.49K","-0.34%"
"08/22/2022","3.8049","3.8286","3.8375","3.7870","173.94K","-0.58%"
"08/19/2022","3.8270","3.8130","3.8379","3.8049","157.95K","0.41%"
"08/18/2022","3.8115","3.8089","3.8154","3.7818","161.97K","0.17%"
"08/17/2022","3.8052","3.7919","3.8200","3.7836","176.15K","0.40%"
"08/16/2022","3.7902","3.7529","3.8019","3.7353","168.92K","1.01%"
"08/15/2022","3.7523","3.7760","3.7850","3.7359","138.99K","-0.63%"
"08/12/2022","3.7760","3.7805","3.7917","3.7663","164.57K","-0.06%"
"08/11/2022","3.7784","3.7586","3.7843","3.7496","177.11K","0.58%"
"08/10/2022","3.7566","3.8158","3.8340","3.7424","177.04K","-1.50%"
"08/09/2022","3.8140","3.7867","3.8214","3.7845","162.04K","0.83%"
"08/08/2022","3.7826","3.7745","3.7950","3.7692","162.85K","0.28%"
"08/05/2022","3.7722","3.7009","3.7922","3.6994","182.50K","1.94%"
"08/04/2022","3.7004","3.6957","3.7329","3.6867","175.14K","0.16%"
"08/03/2022","3.6945","3.6769","3.7043","3.6563","182.29K","0.51%"
"08/02/2022","3.6757","3.6428","3.6797","3.6139","196.31K","0.93%"
"08/01/2022","3.6417","3.6701","3.6874","3.6400","176.87K","-0.72%"
"07/29/2022","3.6681","3.6844","3.7008","3.6537","180.92K","-0.38%"
"07/28/2022","3.6821","3.7222","3.7244","3.6732","176.87K","-1.04%"
"07/27/2022","3.7207","3.7289","3.7367","3.7070","135.20K","-0.18%"
"07/26/2022","3.7275","3.7246","3.7339","3.7114","136.62K","0.13%"
"07/25/2022","3.7227","3.7129","3.7299","3.7009","144.81K","0.27%"
"07/22/2022","3.7125","3.7353","3.7504","3.7031","143.03K","-0.63%"
"07/21/2022","3.7359","3.7666","3.7724","3.7359","163.59K","-0.74%"
"07/20/2022","3.7636","3.7747","3.7854","3.7613","141.89K","-0.26%"
"07/19/2022","3.7733","3.7680","3.7768","3.7531","141.42K","0.20%"
"07/18/2022","3.7658","3.7803","3.7845","3.7636","124.76K","-0.40%"
"07/15/2022","3.7808","3.7989","3.8045","3.7724","144.21K","-0.40%"
"07/14/2022","3.7961","3.7954","3.8233","3.7887","176.80K","0.03%"
