ราคากลางเปิดตลาด ,,,,
การยางแห่งประเทศไทย ฝ่ายเศรษฐกิจยาง,,,,
ว/ด/ป,ราคากลาง,,,
,น้ำยางสด (DRC100%),ยางก้อนถ้วย (DRC100%),ยางแผ่นดิบ,"ยางแผ่นรมควัน 
(ไม่อัดก้อน)"
คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5
3 มกราคม 2561,-,-,44.56,48.00
4 มกราคม 2561,-,-,44.55,46.81
5 มกราคม 2561,-,-,44.45,46.51
8 มกราคม 2561,-,-,44.58,46.12
9 มกราคม 2561,-,-,44.49,45.93
10 มกราคม 2561,-,-,44.33,46.11
11 มกราคม 2561,-,-,44.59,46.27
12 มกราคม 2561,-,-,44.72,46.30
15 มกราคม 2561,-,-,44.82,47.14
16 มกราคม 2561,-,-,45.63,48.09
17 มกราคม 2561,-,-,46.43,48.66
18 มกราคม 2561,-,-,46.37,49.00
19 มกราคม 2561,-,-,46.05,49.52
22 มกราคม 2561,-,-,45.24,50.05
23 มกราคม 2561,-,-,45.39,49.25
24 มกราคม 2561,-,-,45.04,48.07
25 มกราคม 2561,-,-,44.66,48.01
26 มกราคม 2561,-,-,44.64,48.22
29 มกราคม 2561,-,-,45.03,47.88
30 มกราคม 2561,-,-,44.74,47.28
31 มกราคม 2561,-,-,44.44,47.61
1 กุมภาพันธ์ 2561,-,-,43.73,46.99
2 กุมภาพันธ์ 2561,-,-,43.99,47.09
5 กุมภาพันธ์ 2561,-,-,44.56,47.19
6 กุมภาพันธ์ 2561,-,-,45.06,47.29
7 กุมภาพันธ์ 2561,-,-,45.00,47.29
8 กุมภาพันธ์ 2561,-,-,45.03,47.44
9 กุมภาพันธ์ 2561,-,-,45.00,47.29
12 กุมภาพันธ์ 2561,-,-,45.00,47.29
13 กุมภาพันธ์ 2561,-,-,45.00,47.33
14 กุมภาพันธ์ 2561,-,-,45.00,47.30
15 กุมภาพันธ์ 2561,-,-,45.00,47.29
16 กุมภาพันธ์ 2561,-,-,45.00,46.86
19 กุมภาพันธ์ 2561,-,-,44.01,46.57
20 กุมภาพันธ์ 2561,-,-,44.09,46.10
21 กุมภาพันธ์ 2561,-,-,44.18,46.50
22 กุมภาพันธ์ 2561,-,-,44.51,46.84
23 กุมภาพันธ์ 2561,-,-,44.60,46.88
26 กุมภาพันธ์ 2561,-,-,44.97,47.50
27 กุมภาพันธ์ 2561,-,-,45.97,48.76
28 กุมภาพันธ์ 2561,-,-,46.19,48.84
2 มีนาคม 2561,-,-,46.57,49.00
5 มีนาคม 2561,-,-,46.61,48.32
6 มีนาคม 2561,-,-,46.72,49.00
7 มีนาคม 2561,-,-,46.71,48.57
8 มีนาคม 2561,-,-,46.22,48.77
9 มีนาคม 2561,-,-,46.27,48.64
12 มีนาคม 2561,-,-,45.67,48.58
13 มีนาคม 2561,-,-,45.89,48.35
