ราคากลางเปิดตลาด ,,,,
การยางแห่งประเทศไทย ฝ่ายเศรษฐกิจยาง,,,,
ว/ด/ป,ราคากลาง,,,
,น้ำยางสด (DRC100%),ยางก้อนถ้วย (DRC100%),ยางแผ่นดิบ,"ยางแผ่นรมควัน 
(ไม่อัดก้อน)"
คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5
2 มกราคม 2562,-,34.00,41.39,43.86
3 มกราคม 2562,-,34.50,40.49,43.71
4 มกราคม 2562,-,35.00,41.22,44.03
7 มกราคม 2562,-,35.00,42.74,45.27
8 มกราคม 2562,-,35.00,42.57,45.56
9 มกราคม 2562,-,35.50,42.88,45.21
10 มกราคม 2562,-,35.00,43.60,45.56
11 มกราคม 2562,-,35.00,43.74,45.48
14 มกราคม 2562,-,35.00,44.02,45.51
15 มกราคม 2562,-,35.00,43.62,45.52
16 มกราคม 2562,-,35.00,43.09,45.58
17 มกราคม 2562,-,35.00,43.31,45.89
18 มกราคม 2562,-,35.00,43.71,46.13
21 มกราคม 2562,-,36.00,43.91,46.59
22 มกราคม 2562,-,35.50,44.54,47.65
23 มกราคม 2562,-,35.50,44.49,47.87
24 มกราคม 2562,-,35.00,44.55,47.54
25 มกราคม 2562,-,35.00,43.66,46.84
28 มกราคม 2562,-,35.00,44.12,47.05
29 มกราคม 2562,-,34.50,44.13,47.15
30 มกราคม 2562,-,34.50,43.72,45.27
31 มกราคม 2562,-,34.50,43.46,45.41
1 กุมภาพันธ์ 2562,-,34.20,43.22,44.72
4 กุมภาพันธ์ 2562,-,34.00,43.19,44.95
5 กุมภาพันธ์ 2562,-,34.00,43.43,45.21
6 กุมภาพันธ์ 2562,-,35.00,43.43,45.52
7 กุมภาพันธ์ 2562,-,34.50,43.45,45.51
8 กุมภาพันธ์ 2562,-,35.00,43.29,45.26
11 กุมภาพันธ์ 2562,-,35.00,42.89,45.21
12 กุมภาพันธ์ 2562,-,35.00,43.13,45.12
13 กุมภาพันธ์ 2562,-,35.20,43.24,45.31
14 กุมภาพันธ์ 2562,-,36.00,43.44,45.21
15 กุมภาพันธ์ 2562,-,35.50,43.58,45.78
18 กุมภาพันธ์ 2562,-,36.00,43.36,45.63
20 กุมภาพันธ์ 2562,-,36.50,43.79,45.91
21 กุมภาพันธ์ 2562,-,37.00,44.44,46.50
22 กุมภาพันธ์ 2562,-,37.00,44.72,47.16
25 กุมภาพันธ์ 2562,-,37.50,44.99,46.89
26 กุมภาพันธ์ 2562,-,37.50,45.30,48.09
27 กุมภาพันธ์ 2562,-,38.00,45.60,47.74
28 กุมภาพันธ์ 2562,-,38.00,45.73,48.01
1 มีนาคม 2562,-,38.50,45.62,49.00
4 มีนาคม 2562,-,39.00,46.26,49.27
5 มีนาคม 2562,-,39.00,47.63,50.30
6 มีนาคม 2562,-,39.00,48.18,50.70
7 มีนาคม 2562,-,39.00,47.81,51.00
8 มีนาคม 2562,-,39.50,47.62,50.47
11 มีนาคม 2562,-,39.50,47.60,51.20
12 มีนาคม 2562,-,40.00,47.82,51.50
13 มีนาคม 2562,-,40.50,48.11,52.00
14 มีนาคม 2562,-,40.50,48.20,52.15
15 มีนาคม 2562,-,40.50,48.61,52.50
18 มีนาคม 2562,-,40.50,48.31,53.00
19 มีนาคม 2562,-,40.50,48.89,53.10
20 มีนาคม 2562,-,40.00,49.17,53.25
21 มีนาคม 2562,-,40.00,49.37,53.75
22 มีนาคม 2562,-,40.00,49.53,54.00
25 มีนาคม 2562,-,39.50,49.78,54.05
26 มีนาคม 2562,-,39.00,49.52,54.10
27 มีนาคม 2562,-,39.00,49.55,54.10
28 มีนาคม 2562,-,39.00,49.90,54.10
29 มีนาคม 2562,-,39.00,49.71,54.15
1 เมษายน 2562,-,39.50,49.87,54.20
2 เมษายน 2562,-,40.00,50.07,54.25
3 เมษายน 2562,-,40.50,50.15,54.30
4 เมษายน 2562,-,41.00,50.77,54.30
5 เมษายน 2562,-,41.00,50.86,54.35
9 เมษายน 2562,-,41.00,50.90,54.40
10 เมษายน 2562,-,41.00,51.65,54.40
11 เมษายน 2562,-,41.50,51.61,54.45
18 เมษายน 2562,-,41.50,51.35,54.45
19 เมษายน 2562,-,41.50,51.05,53.50
22 เมษายน 2562,-,42.50,50.36,53.50
23 เมษายน 2562,-,42.50,50.98,53.50
24 เมษายน 2562,-,42.50,50.90,53.60
25 เมษายน 2562,-,42.50,50.38,53.65
26 เมษายน 2562,-,42.50,50.80,53.65
29 เมษายน 2562,-,42.50,50.70,53.70
30 เมษายน 2562,-,42.50,50.81,53.75
2 พฤษภาคม 2562,-,42.50,50.55,53.75
3 พฤษภาคม 2562,-,42.50,50.81,53.80
7 พฤษภาคม 2562,-,42.50,50.81,53.80
8 พฤษภาคม 2562,-,42.00,50.91,53.80
10 พฤษภาคม 2562,-,42.00,51.15,53.40
13 พฤษภาคม 2562,-,42.50,50.90,53.30
14 พฤษภาคม 2562,-,42.50,50.77,53.40
15 พฤษภาคม 2562,-,42.50,50.42,53.40
16 พฤษภาคม 2562,-,42.50,50.42,53.25
17 พฤษภาคม 2562,-,43.00,50.60,53.25
21 พฤษภาคม 2562,-,43.00,50.60,53.41
22 พฤษภาคม 2562,-,43.00,51.29,53.51
23 พฤษภาคม 2562,-,43.00,51.32,53.59
24 พฤษภาคม 2562,-,43.00,51.69,53.59
27 พฤษภาคม 2562,-,43.00,51.33,53.65
28 พฤษภาคม 2562,-,43.00,51.83,53.99
29 พฤษภาคม 2562,-,43.00,52.08,54.45
30 พฤษภาคม 2562,-,43.00,52.57,54.89
31 พฤษภาคม 2562,-,43.00,52.79,55.31
4 มิถุนายน 2562,-,43.00,53.67,55.71
5 มิถุนายน 2562,-,43.00,53.69,55.89
6 มิถุนายน 2562,-,43.00,53.95,56.16
7 มิถุนายน 2562,-,43.10,54.39,56.81
10 มิถุนายน 2562,-,43.10,55.22,57.62
11 มิถุนายน 2562,-,43.10,55.51,58.49
12 มิถุนายน 2562,-,43.10,55.42,59.00
13 มิถุนายน 2562,-,43.10,55.54,59.52
14 มิถุนายน 2562,-,43.10,55.99,59.75
17 มิถุนายน 2562,-,43.20,56.36,60.05
18 มิถุนายน 2562,-,43.20,56.50,59.43
19 มิถุนายน 2562,-,43.10,56.66,59.18
20 มิถุนายน 2562,-,43.10,56.74,59.08
21 มิถุนายน 2562,-,43.00,56.81,59.02
24 มิถุนายน 2562,-,43.00,56.84,58.81
25 มิถุนายน 2562,-,42.80,56.80,58.85
26 มิถุนายน 2562,-,42.90,56.48,58.46
27 มิถุนายน 2562,-,42.90,56.67,58.16
28 มิถุนายน 2562,-,42.80,56.75,58.00
1 กรกฎาคม 2562,-,42.80,56.30,57.74
2 กรกฎาคม 2562,51.00,42.60,55.80,56.81
3 กรกฎาคม 2562,50.50,42.10,54.84,55.96
4 กรกฎาคม 2562,49.50,41.80,53.65,54.46
5 กรกฎาคม 2562,48.50,41.30,52.00,53.14
8 กรกฎาคม 2562,47.50,41.30,51.00,52.08
9 กรกฎาคม 2562,47.00,41.00,51.00,52.08
10 กรกฎาคม 2562,47.00,40.00,48.70,49.50
11 กรกฎาคม 2562,46.00,39.30,48.70,49.50
12 กรกฎาคม 2562,45.50,39.00,48.70,49.50
15 กรกฎาคม 2562,45.00,39.10,47.97,49.49
18 กรกฎาคม 2562,50.10,39.20,47.97,49.49
19 กรกฎาคม 2562,45.10,38.50,47.43,48.37
22 กรกฎาคม 2562,45.50,38.50,47.62,48.94
23 กรกฎาคม 2562,45.50,38.60,47.48,48.89
24 กรกฎาคม 2562,45.50,38.65,47.69,49.11
25 กรกฎาคม 2562,45.50,38.20,47.47,49.20
26 กรกฎาคม 2562,45.60,38.10,47.58,48.78
30 กรกฎาคม 2562,42.50,37.60,45.78,47.40
31 กรกฎาคม 2562,42.00,36.80,43.50,45.00
1 สิงหาคม 2562,41.00,36.00,43.05,45.00
2 สิงหาคม 2562,40.00,35.00,42.46,44.50
5 สิงหาคม 2562,38.50,34.00,40.00,41.50
6 สิงหาคม 2562,38.00,33.50,40.00,41.20
7 สิงหาคม 2562,38.00,33.00,39.61,41.00
8 สิงหาคม 2562,38.00,32.50,39.81,41.00
9 สิงหาคม 2562,38.50,33.00,40.23,41.50
13 สิงหาคม 2562,-,33.00,40.53,42.00
14 สิงหาคม 2562,39.00,33.00,40.47,42.00
15 สิงหาคม 2562,39.20,33.00,40.33,41.74
16 สิงหาคม 2562,39.20,33.00,40.31,41.45
19 สิงหาคม 2562,39.30,33.10,39.43,41.51
20 สิงหาคม 2562,39.40,33.30,40.19,42.30
21 สิงหาคม 2562,39.40,33.30,40.34,42.56
22 สิงหาคม 2562,39.40,33.10,39.92,42.30
23 สิงหาคม 2562,39.40,33.10,40.05,42.47
26 สิงหาคม 2562,39.40,33.10,40.27,42.06
27 สิงหาคม 2562,39.40,33.00,40.19,41.00
28 สิงหาคม 2562,39.50,33.00,39.86,41.47
29 สิงหาคม 2562,39.50,33.00,39.98,42.02
30 สิงหาคม 2562,39.50,33.00,39.95,42.29
2 กันยายน 2562,39.50,33.00,39.86,41.47
3 กันยายน 2562,39.60,33.10,40.29,42.37
4 กันยายน 2562,39.70,33.30,40.64,42.45
5 กันยายน 2562,39.90,33.40,40.84,42.91
6 กันยายน 2562,39.90,33.50,41.11,43.08
9 กันยายน 2562,39.90,33.50,41.38,43.11
10 กันยายน 2562,39.90,33.50,41.07,42.88
11 กันยายน 2562,39.90,33.60,40.80,41.84
12 กันยายน 2562,39.90,33.60,40.08,41.74
13 กันยายน 2562,39.90,33.60,40.07,41.71
16 กันยายน 2562,39.90,33.70,40.24,41.49
17 กันยายน 2562,40.00,33.70,40.11,42.16
18 กันยายน 2562,40.00,33.80,40.73,42.42
19 กันยายน 2562,40.00,33.80,40.39,41.83
20 กันยายน 2562,40.00,33.80,40.10,41.30
23 กันยายน 2562,39.80,33.70,40.05,40.68
24 กันยายน 2562,39.80,33.70,40.42,41.12
25 กันยายน 2562,39.70,33.70,40.42,41.32
26 กันยายน 2562,39.50,33.60,39.83,40.94
27 กันยายน 2562,39.30,33.60,39.81,40.74
30 กันยายน 2562,37.80,33.50,39.29,39.58
1 ตุลาคม 2562,37.50,33.40,38.20,39.20
2 ตุลาคม 2562,37.00,33.10,37.49,35.58
3 ตุลาคม 2562,36.50,33.00,36.78,37.88
4 ตุลาคม 2562,36.00,32.80,36.50,37.75
7 ตุลาคม 2562,35.50,32.60,36.68,37.77
8 ตุลาคม 2562,35.50,32.60,36.64,37.97
9 ตุลาคม 2562,35.70,32.40,36.75,38.19
10 ตุลาคม 2562,35.80,32.20,37.00,38.55
11 ตุลาคม 2562,36.00,32.20,36.67,38.77
15 ตุลาคม 2562,36.20,32.20,37.27,39.07
16 ตุลาคม 2562,36.20,32.30,37.80,39.78
17 ตุลาคม 2562,36.20,32.30,37.79,39.81
18 ตุลาคม 2562,36.40,32.30,36.66,39.52
21 ตุลาคม 2562,36.70,32.50,37.62,39.07
22 ตุลาคม 2562,36.70,32.40,37.66,39.17
24 ตุลาคม 2562,37.00,32.50,37.80,39.45
25 ตุลาคม 2562,37.20,32.50,38.09,39.45
28 ตุลาคม 2562,37.70,32.50,37.87,39.54
29 ตุลาคม 2562,37.70,32.40,37.84,39.30
30 ตุลาคม 2562,37.70,32.40,37.67,38.94
31 ตุลาคม 2562,37.70,32.50,37.99,39.23
1 พฤศจิกายน 2562,37.90,32.50,37.59,39.44
4 พฤศจิกายน 2562,37.90,32.50,37.68,39.23
5 พฤศจิกายน 2562,38.00,32.50,37.79,39.35
6 พฤศจิกายน 2562,38.00,32.50,38.34,39.58
7 พฤศจิกายน 2562,38.00,32.50,38.16,39.61
8 พฤศจิกายน 2562,38.30,32.50,38.62,39.83
11 พฤศจิกายน 2562,38.50,32.50,38.30,39.67
12 พฤศจิกายน 2562,38.50,32.40,38.50,39.76
13 พฤศจิกายน 2562,38.70,32.50,38.49,39.82
14 พฤศจิกายน 2562,38.70,32.50,38.57,40.27
15 พฤศจิกายน 2562,38.70,32.60,38.70,40.26
18 พฤศจิกายน 2562,38.00,32.60,38.73,40.06
19 พฤศจิกายน 2562,37.40,32.60,38.74,39.89
20 พฤศจิกายน 2562,36.50,32.60,38.75,39.99
21 พฤศจิกายน 2562,36.50,32.60,38.87,40.51
22 พฤศจิกายน 2562,37.00,32.65,39.50,40.99
25 พฤศจิกายน 2562,38.00,32.65,39.65,41.29
26 พฤศจิกายน 2562,38.30,32.65,39.89,41.59
27 พฤศจิกายน 2562,38.60,32.65,39.89,41.53
28 พฤศจิกายน 2562,39.00,32.65,39.82,41.58
29 พฤศจิกายน 2562,39.00,32.65,39.62,41.47
2 ธันวาคม 2562,39.20,32.65,39.64,41.15
3 ธันวาคม 2562,39.30,32.65,39.91,41.32
4 ธันวาคม 2562,39.30,33.00,39.74,41.36
6 ธันวาคม 2562,39.70,33.00,39.77,41.45
9 ธันวาคม 2562,40.00,33.30,40.53,43.39
11 ธันวาคม 2562,40.00,34.00,41.46,43.43
12 ธันวาคม 2562,40.00,34.00,41.31,43.47
13 ธันวาคม 2562,39.50,34.05,41.29,43.21
16 ธันวาคม 2562,39.70,34.15,41.42,43.64
17 ธันวาคม 2562,40.00,34.20,41.31,43.31
18 ธันวาคม 2562,40.20,34.30,41.48,43.45
19 ธันวาคม 2562,40.50,34.30,41.62,43.14
20 ธันวาคม 2562,40.50,34.30,40.96,42.64
23 ธันวาคม 2562,39.50,34.30,40.83,42.56
24 ธันวาคม 2562,38.80,34.30,41.24,42.09
25 ธันวาคม 2562,38.50,34.30,40.92,41.79
26 ธันวาคม 2562,37.20,34.20,40.71,41.75
27 ธันวาคม 2562,35.70,34.30,40.60,41.70
