"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","26.8658","26.8916","26.9826","26.8378","57.32K","0.03%"
"10/28/2022","26.8585","26.8237","26.9510","26.7377","70.62K","0.23%"
"10/27/2022","26.7957","26.8896","26.9298","26.7717","88.57K","-0.33%"
"10/26/2022","26.8848","26.8177","26.9306","26.7172","74.48K","0.35%"
"10/25/2022","26.7909","26.8410","26.9449","26.7698","67.22K","-0.14%"
"10/24/2022","26.8293","26.8725","26.9118","26.7524","80.24K","0.14%"
"10/21/2022","26.7905","26.8179","26.9426","26.7538","92.73K","0.07%"
"10/20/2022","26.7729","26.8716","26.9738","26.7104","81.04K","-0.17%"
"10/19/2022","26.8181","26.8037","26.9404","26.7352","70.47K","0.15%"
"10/18/2022","26.7783","26.8004","26.8698","26.7364","77.94K","0.11%"
"10/17/2022","26.7497","26.8589","26.8908","26.6926","71.29K","-0.30%"
"10/14/2022","26.8312","26.5735","26.8860","26.5549","75.53K","1.03%"
"10/13/2022","26.5581","26.4242","26.6410","26.3367","70.32K","0.57%"
"10/12/2022","26.4071","26.4929","26.5868","26.3794","70.93K","-0.26%"
"10/11/2022","26.4749","26.4165","26.5741","26.3920","82.50K","0.35%"
"10/10/2022","26.3820","26.2399","26.4624","26.1828","65.79K","0.63%"
"10/07/2022","26.2174","26.1326","26.2838","26.1215","77.09K","0.23%"
"10/06/2022","26.1560","26.2864","26.3443","26.1246","77.95K","-0.48%"
"10/05/2022","26.2818","26.3237","26.3809","26.1522","77.81K","-0.15%"
"10/04/2022","26.3210","26.4221","26.5167","26.2148","73.20K","-0.31%"
"10/03/2022","26.4040","26.3708","26.5740","26.3361","89.06K","0.37%"
"09/30/2022","26.3059","26.4296","26.5435","26.2702","83.23K","-0.40%"
"09/29/2022","26.4113","26.3079","26.5639","26.2927","97.55K","0.50%"
"09/28/2022","26.2787","26.3942","26.5536","26.2773","95.73K","-0.35%"
"09/27/2022","26.3721","26.3862","26.4683","26.3510","77.68K","-0.02%"
"09/26/2022","26.3784","26.2325","26.4358","26.2200","88.89K","0.60%"
"09/23/2022","26.2209","26.3447","26.3879","26.2185","70.51K","-0.33%"
"09/22/2022","26.3076","26.2454","26.4015","26.1889","80.02K","0.32%"
"09/21/2022","26.2241","26.2581","26.3432","26.1632","65.76K","-0.12%"
"09/20/2022","26.2553","26.2504","26.2928","26.1767","51.91K","0.05%"
"09/19/2022","26.2414","26.2447","26.2924","26.1477","45.87K","0.27%"
"09/16/2022","26.1714","26.2252","26.3332","26.1528","56.52K","-0.16%"
"09/15/2022","26.2134","26.0427","26.2547","26.0132","58.22K","0.72%"
"09/14/2022","26.0257","26.0638","26.1421","26.0010","67.74K","-0.08%"
"09/13/2022","26.0465","26.0088","26.0701","25.9212","58.13K","0.25%"
"09/12/2022","25.9827","25.9890","26.0890","25.9609","48.79K","0.07%"
"09/09/2022","25.9633","25.9614","26.0458","25.8732","69.17K","0.01%"
"09/08/2022","25.9607","25.9516","26.0294","25.8823","67.25K","0.08%"
"09/07/2022","25.9399","26.0700","26.1453","25.9034","63.90K","-0.44%"
"09/06/2022","26.0539","26.0696","26.0945","25.9321","68.28K","-0.02%"
"09/05/2022","26.0597","26.1692","26.2234","25.9873","46.77K","-0.38%"
"09/02/2022","26.1592","26.2119","26.2957","26.1102","56.03K","-0.17%"
"09/01/2022","26.2029","26.1659","26.2709","26.1395","64.03K","0.28%"
"08/31/2022","26.1286","26.0873","26.2047","26.0466","63.97K","0.20%"
"08/30/2022","26.0764","26.0272","26.1148","26.0181","62.35K","0.24%"
"08/29/2022","26.0135","25.9411","26.1190","25.9255","54.48K","0.34%"
"08/26/2022","25.9251","25.8181","25.9880","25.7583","64.69K","0.49%"
"08/25/2022","25.7990","25.9048","25.9150","25.7387","64.80K","-0.38%"
"08/24/2022","25.8967","25.8980","26.0103","25.8228","62.55K","0.03%"
"08/23/2022","25.8887","25.8378","25.9760","25.7983","62.47K","0.26%"
"08/22/2022","25.8224","25.7056","25.8952","25.6716","53.38K","0.66%"
"08/19/2022","25.6535","25.7115","25.8032","25.6630","56.62K","-0.19%"
"08/18/2022","25.7015","25.6642","25.8362","25.6324","55.79K","0.15%"
"08/17/2022","25.6622","25.6754","25.7167","25.6178","59.21K","-0.01%"
"08/16/2022","25.6635","25.7496","25.8182","25.6411","49.48K","-0.32%"
"08/15/2022","25.7449","25.7608","25.8817","25.7103","46.14K","-0.04%"
"08/12/2022","25.7564","25.6889","25.8256","25.6624","43.49K","0.31%"
"08/11/2022","25.6770","25.8112","25.8376","25.6340","57.20K","-0.47%"
"08/10/2022","25.7992","25.6899","25.8874","25.5655","52.77K","0.46%"
"08/09/2022","25.6817","25.8651","25.8742","25.6354","44.26K","-0.58%"
"08/08/2022","25.8303","25.8912","25.9764","25.7806","40.70K","-0.20%"
"08/05/2022","25.8812","26.0816","26.0816","25.8083","54.26K","-0.70%"
"08/04/2022","26.0639","26.2359","26.2790","26.0150","50.91K","-0.60%"
"08/03/2022","26.2220","26.2150","26.2998","26.1468","54.26K","0.13%"
"08/02/2022","26.1879","26.2287","26.2854","26.0840","60.39K","-0.16%"
"08/01/2022","26.2290","26.2775","26.3396","26.0895","53.76K","-0.19%"
"07/29/2022","26.2800","26.4121","26.4470","26.1938","54.51K","-0.48%"
"07/28/2022","26.4058","26.5264","26.5989","26.3980","51.26K","-0.41%"
"07/27/2022","26.5144","26.4249","26.6058","26.4159","48.61K","0.39%"
"07/26/2022","26.4120","26.4686","26.5249","26.3959","45.44K","-0.18%"
"07/25/2022","26.4585","26.4087","26.5153","26.3652","43.25K","0.23%"
"07/22/2022","26.3977","26.4661","26.5526","26.3766","49.89K","-0.17%"
"07/21/2022","26.4426","26.3366","26.5228","26.3201","49.52K","0.46%"
"07/20/2022","26.3222","26.3069","26.3800","26.2766","44.76K","0.10%"
"07/19/2022","26.2950","26.2354","26.3442","26.2162","49.88K","0.30%"
"07/18/2022","26.2164","26.1605","26.2586","26.1427","46.64K","0.25%"
"07/15/2022","26.1515","26.0606","26.2040","26.0345","51.48K","0.39%"
"07/14/2022","26.0489","25.7833","26.1259","25.7012","60.18K","1.12%"
