date,cup_lump,rubber_sheet,ribbed_smoked_sheet,latex,fob,tocom,sicom,jpy,sgd,usd,crude_oil
2017-09-19,,52.56,55.04,51.5,60.1,208.8,174.3,3.3735,24.5647,0.0302,51.77
2017-09-20,,51.51,53.28,50.5,59.7,210.0,178.2,3.3905,24.5431,0.0302,51.79
2017-09-21,,51.51,53.14,50.0,59.7,207.8,175.3,3.397,24.5323,0.0302,51.63
2017-09-22,,51.78,53.3,50.0,58.7,207.0,176.5,3.3853,24.5801,0.0302,51.67
2017-09-25,,50.58,53.22,50.0,58.7,207.0,178.0,3.3757,24.5031,0.0302,51.41
2017-09-26,,50.33,53.49,51.0,58.7,211.5,177.2,3.3801,24.5155,0.0301,51.38
2017-09-27,,51.07,54.06,51.0,59.6,214.0,178.0,3.3885,24.4934,0.03,51.18
2017-09-28,,51.55,54.83,51.0,58.2,206.1,166.5,3.3647,24.5913,0.03,50.75
2017-09-29,,50.05,53.81,48.0,57.1,205.5,170.5,3.375,24.5534,0.03,51.09
2017-10-02,,49.1,52.81,48.0,57.1,204.9,166.5,3.3742,24.5455,0.0299,50.53
2017-10-03,,47.89,51.75,48.0,57.5,207.5,172.1,3.3819,24.5035,0.03,50.59
2017-10-04,,48.41,52.84,48.0,58.0,208.1,173.5,3.3815,24.4977,0.03,50.78
2017-10-05,,48.91,53.28,48.5,58.4,207.7,173.7,3.3779,24.4823,0.0299,51.15
2017-10-06,,49.91,53.85,49.0,58.0,208.0,170.3,3.3695,24.4971,0.0299,50.26
2017-10-09,,50.33,53.35,48.0,57.2,208.0,169.3,3.3754,24.4784,0.03,50.46
2017-10-10,,49.8,52.45,48.0,56.6,206.9,166.0,3.3821,24.5179,0.0301,50.43
2017-10-11,,49.14,51.96,47.0,55.8,206.4,160.0,3.3904,24.4989,0.0301,50.66
2017-10-12,,48.35,51.2,47.5,55.0,205.2,162.3,3.3892,24.4963,0.0302,50.3
2017-10-13,,48.35,51.2,47.5,55.0,205.2,162.3,3.3892,24.4963,0.0302,50.3
2017-10-16,,47.33,50.2,47.0,55.0,198.1,163.5,3.3935,24.4662,0.0302,50.15
2017-10-17,,46.77,50.34,47.0,54.55,189.5,162.3,3.3878,24.4302,0.0302,49.83
2017-10-18,,45.68,50.93,46.0,54.55,189.0,162.3,3.4068,24.4316,0.0302,50.06
2017-10-19,,45.86,51.41,44.0,54.55,188.0,158.7,3.4002,24.4002,0.0302,49.97
2017-10-20,,46.39,53.41,43.0,54.55,186.7,158.0,3.4202,24.3802,0.0301,50.19
2017-10-23,,46.39,53.41,43.0,54.55,186.7,158.0,3.4202,24.3802,0.0301,50.19
2017-10-24,,45.41,54.0,42.0,54.0,199.0,156.6,3.4312,24.3579,0.0301,50.28
2017-10-25,,45.35,52.0,41.5,54.45,192.7,157.7,3.4271,24.3964,0.0301,50.33
2017-10-26,,45.35,52.0,41.5,54.45,192.7,157.7,3.4271,24.3964,0.0301,50.33
2017-10-27,,46.05,51.0,41.5,54.45,195.0,156.8,3.4211,24.3363,0.0301,50.61
2017-10-30,,45.83,51.5,42.5,54.0,188.2,151.2,3.4058,24.4195,0.0301,50.6
2017-10-31,,45.16,49.5,43.0,53.0,185.9,149.0,3.4196,24.3827,0.0301,50.43
2017-11-01,,44.51,46.7,43.0,53.0,190.0,155.7,3.4452,24.3498,0.0302,50.03
2017-11-02,,44.96,45.89,43.0,53.15,189.5,155.5,3.4477,24.3461,0.0302,49.87
2017-11-03,,45.12,46.16,43.0,53.15,189.5,156.6,3.4386,24.305,0.0301,49.96
2017-11-06,,44.28,46.09,44.5,53.6,194.5,161.5,3.435,24.3105,0.0302,49.7
2017-11-07,,44.55,46.55,45.5,54.0,194.9,159.5,3.4404,24.2953,0.0302,50.09
